16,16,22679
17,17,47580
18,18,23344
19,19,84944
20,20,82552
21,21,21931
22,22,21931
23,23,20766
24,24,22247
25,25,22667
26,26,21746
27,27,23323
28,28,23204
29,29,21955
30,30,44234
31,31,22725
32,32,22616
33,33,22730
34,34,22698
35,35,21216
36,36,85123A
37,37,21621
38,38,22998
39,39,23319
40,40,22469
41,41,85099B
42,42,23171
43,43,85099B
44,44,23299
45,45,23203
46,46,23052
47,47,85123A
48,48,23146
49,49,22726
50,50,85099B
51,51,71459
52,52,22153
53,53,22367
54,54,85099C
55,55,23081
56,56,POST
57,57,22493
58,58,85174
59,59,84279P
60,60,21114
61,61,22593
62,62,21164
63,63,22801
64,64,21485
65,65,22963
66,66,22354
67,67,22949
68,68,22398
69,69,22578
70,70,21381
71,71,21937
72,72,22469
73,73,23110
74,74,21786
75,75,21519
76,76,23256
77,77,20712
78,78,22123
79,79,22690
80,80,21484
81,81,84029G
82,82,84754
83,83,22704
84,84,72598
85,85,22457
86,86,21080
87,87,22629
88,88,22311
89,89,22297
90,90,22621
91,91,47566
92,92,21922
93,93,22328
94,94,22734
95,95,22264
96,96,47593B
97,97,21238
98,98,23314
99,99,21790
100,100,22365
101,101,21087
102,102,22676
103,103,22621
104,104,20700
105,105,21205
106,106,47504K
107,107,20838
108,108,21094
109,109,85227
110,110,23532
111,111,23079
112,112,21485
113,113,85169C
114,114,21672
115,115,20717
116,116,23206
117,117,21246
118,118,20726
119,119,22839
120,120,21731
121,121,21955
122,122,22204
123,123,22773
124,124,21479
125,125,23393
126,126,23112
127,127,21754
128,128,21340
129,129,22147
130,130,22149
131,131,22555
132,132,21065
133,133,23330
134,134,22027
135,135,21915
136,136,21221
137,137,22578
138,138,22729
139,139,22844
140,140,35923
141,141,22148
142,142,21889
143,143,22149
144,144,22068
145,145,22585
146,146,84971S
147,147,84755
148,148,23510
149,149,21326
150,150,21547
151,151,21905
152,152,22379
153,153,22570
154,154,21900
155,155,22296
156,156,22558
157,157,22846
158,158,23321
159,159,21172
160,160,23344
161,161,21914
162,162,22993
163,163,23159
164,164,22689
165,165,22427
166,166,82483
167,167,23012
168,168,POST
169,169,20712
170,170,20723
171,171,22355
172,172,23579
173,173,22993
174,174,22940
175,175,22615
176,176,23459
177,177,22173
178,178,84509a
179,179,22195
180,180,22704
181,181,35637A
182,182,22040
183,183,POST
184,184,37448
185,185,22357
186,186,20724
187,187,72816
188,188,51014C
189,189,47574A
190,190,20682
191,191,22810
192,192,20618
193,193,47566B
194,194,22653
195,195,22736
196,196,22975
197,197,22295
198,198,84755
199,199,22995
200,200,23174
201,201,22138
202,202,21486
203,203,22384
204,204,21068
205,205,22090
206,206,47566
207,207,22530
208,208,82552
209,209,23199
210,210,84997D
211,211,21892
212,212,90118
213,213,72349b
214,214,23456
215,215,22717
216,216,21889
217,217,47566
218,218,21749
219,219,23209
220,220,22874
221,221,22846
222,222,82600
223,223,22488
224,224,82494l
225,225,23234
226,226,71053
227,227,23295
228,228,79321
229,229,22960
230,230,22077
231,231,22726
232,232,22646
233,233,20725
234,234,21080
235,235,21929
236,236,23535
237,237,84949
238,238,23343
239,239,84836
240,240,23203
241,241,23207
242,242,22569
243,243,47591D
244,244,22602
245,245,22632
246,246,23350
247,247,22729
248,248,72741
249,249,22634
250,250,22791
251,251,22736
252,252,22072
253,253,22138
254,254,23159
255,255,23233
256,256,84534B
257,257,21811
258,258,85183A
259,259,22926
260,260,22904
261,261,85035A
262,262,23202
263,263,85049G
264,264,15036
265,265,21213
266,266,22635
267,267,35953
268,268,22997
269,269,20712
270,270,21843
271,271,22671
272,272,21154
273,273,84802B
274,274,16238
275,275,21888
276,276,23360
277,277,23083
278,278,22333
279,279,21174
280,280,22355
281,281,21232
282,282,21817
283,283,20725
284,284,23165
285,285,22577
286,286,22961
287,287,22818
288,288,22113
289,289,21485
290,290,22090
291,291,22195
292,292,21164
293,293,22302
294,294,22906
295,295,22355
296,296,22744
297,297,84978
298,298,22090
299,299,22423
300,300,20712
301,301,22690
302,302,21623
303,303,22167
304,304,22629
305,305,22469
306,306,23189
307,307,22859
308,308,22434
309,309,21648
310,310,84997C
311,311,22700
312,312,21136
313,313,22942
314,314,21212
